Gene,_SCORE_GRP6_,_SCORE_GRP4_,_SCORE_GRP2_,_SCORE_GRP3_,_SCORE_GRP1_,_SCORE_GRP7_,_SCORE_GRP9_,_SCORE_GRP5_,_SCORE_GRP8_,_SCORE_GRP10_,_SCORE_GRP13_,_SCORE_GRP11_,_SCORE_GRP12_,GRP1|20_GO:0097060|-7.003|synaptic membrane,GRP1|20_GO:0098794|-3.276|postsynapse,GRP1|20_GO:0045211|-4.309|postsynaptic membrane,GRP1|20_GO:0098978|-3.443|glutamatergic synapse,GRP1|19_GO:0099177|-2.982|regulation of trans-synaptic signaling,GRP1|19_GO:0050804|-2.987|modulation of chemical synaptic transmission,GRP1|19_GO:0099536|-3.181|synaptic signaling,GRP1|19_GO:0099537|-3.394|trans-synaptic signaling,GRP1|19_GO:0098916|-2.035|anterograde trans-synaptic signaling,GRP1|19_GO:0007268|-2.035|chemical synaptic transmission,GRP1|20_GO:0098685|-3.636|Schaffer collateral - CA1 synapse,GRP1|20_GO:0098793|-3.164|presynapse,GRP1|20_GO:0042734|-2.690|presynaptic membrane,GRP2|19_GO:2000146|-4.534|negative regulation of cell motility,GRP2|19_GO:0030336|-4.650|negative regulation of cell migration,GRP2|19_GO:0040013|-4.400|negative regulation of locomotion,GRP2|19_GO:0010596|-2.451|negative regulation of endothelial cell migration,GRP3|19_GO:0051129|-4.148|negative regulation of cellular component organization,GRP3|19_GO:0031175|-2.201|neuron projection development,GRP3|19_GO:0120039|-2.354|plasma membrane bounded cell projection morphogenesis,GRP3|19_GO:0048812|-2.375|neuron projection morphogenesis,GRP3|19_GO:0048858|-2.326|cell projection morphogenesis,GRP3|19_GO:0061564|-2.685|axon development,GRP3|19_GO:0007409|-2.237|axonogenesis,GRP3|19_GO:0031344|-2.404|regulation of cell projection organization,GRP3|19_GO:0120035|-2.472|regulation of plasma membrane bounded cell projection organization,GRP3|19_GO:0051960|-2.566|regulation of nervous system development,GRP3|19_GO:0050767|-2.261|regulation of neurogenesis,GRP3|19_GO:0010721|-2.764|negative regulation of cell development,GRP3|19_GO:0051961|-2.961|negative regulation of nervous system development,GRP3|19_GO:0050768|-3.037|negative regulation of neurogenesis,GRP3|19_GO:0031345|-2.580|negative regulation of cell projection organization,GRP3|19_GO:0010977|-2.140|negative regulation of neuron projection development,GRP3|19_GO:0050771|-3.247|negative regulation of axonogenesis,GRP3|19_GO:0050770|-2.029|regulation of axonogenesis,GRP4|20_GO:0030424|-3.787|axon,GRP4|20_GO:0044297|-3.611|cell body,GRP4|20_GO:0043025|-3.201|neuronal cell body,GRP5|19_GO:0044057|-3.394|regulation of system process,GRP5|19_GO:1903522|-2.027|regulation of blood circulation,GRP5|19_GO:0008016|-2.355|regulation of heart contraction,GRP5|19_GO:0032870|-2.174|cellular response to hormone stimulus,GRP5|19_GO:0030323|-2.509|respiratory tube development,GRP5|19_GO:0030324|-2.540|lung development,GRP5|19_GO:0060541|-2.335|respiratory system development,GRP5|21_GO:0031490|-3.191|chromatin DNA binding,GRP6|21_GO:0003779|-2.666|actin binding,GRP7|20_GO:0031902|-2.664|late endosome membrane,GRP7|20_GO:0098839|-2.244|postsynaptic density membrane,GRP8|19_GO:0030522|-2.076|intracellular receptor signaling pathway,GRP8|19_GO:0062208|-2.633|positive regulation of pattern recognition receptor signaling pathway,GRP9|19_GO:0030705|-2.501|cytoskeleton-dependent intracellular transport,GRP9|20_GO:0120111|-2.605|neuron projection cytoplasm,GRP10|19_GO:0060828|-2.016|regulation of canonical Wnt signaling pathway,GRP10|19_GO:0060070|-2.404|canonical Wnt signaling pathway,GRP11|19_GO:0051098|-2.370|regulation of binding,"GRP12|21_GO:0016810|-2.177|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",GRP13|21_GO:0051087|-2.104|protein-folding chaperone binding,GRP13|21_GO:0031072|-2.158|heat shock protein binding,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_,_SORT_GRP13_
56965,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0,0,9,0,0,0,0,0,0,0,0,0,0
3036,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0,5,0,0,0,0,0,0,0,0,0,0,0
8835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0,0,0,0,10,0,0,0,0,0,0,0,0
8128,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,0,7,0,0,0,0,0,0,0,0,0,0
1571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,9,0,0,0,0,0,0,0,0,0,0,0,0,2
55693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,17,0,0,0,0,11,0,0,0,0,0,2,0,0
55906,0.0,0.6666666666666666,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,16,12,0,0,7,0,0,0,0,0,0,1,0,0
7068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,0,0,2,0,0,5,0,0,0,0,0
4851,0.0,0.0,1.0,0.6666666666666666,0.6923076923076923,1.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.4,0.2,0.3,0.2,0.0,0.0,0.2,0.2,0.1,0.1,0.2,0.0,0.0,0.3,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1,4,2,3,0,3,0,2,0,0,4,0,0,0
27065,0.0,0.0,0.0,0.0,0.7692307692307693,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,3,0,0,0,0,0,5,0,0,0,0,0,0
54825,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0,0,5,0,0,0,0,0,0,0,0,0,0
55466,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7,0,1,13,0,0,0,0,0,0,0,0,0,1
170954,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,0,0,0,2,0,0,0,0,0,0,0
1949,0.0,0.0,0.0,1.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,0,2,0,0,0,0,0,0,0,0,0,0
5217,1.0,0.0,0.75,0.2222222222222222,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8,4,8,0,0,1,0,0,0,0,0,0,0
7345,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,6,2,0,0,0,0,2,0,0,0,0
54874,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0,10,0,0,0,0,0,5,0,0,0,0
1135,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.3,0.0,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,33,2,0,0,0,8,0,0,0,3,0,0,0,0
203068,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0,0,0,8,0,0,0,0,4,0,0,0,0
